id,name,address,phone,website,email,score,website_quality,digital_presence,automation_score,stage,notes,email_source
0e6004e1-bb88-4a95-8a7a-97865aebba8a,PolyAI,"3 Sheldon Square, London W2 6HY, UK",2242757839,https://www.polyai.com/,sales@poly.ai,78,'26/30,'28/30,'24/40,New,,website
d321c1ed-f5b2-4900-8fad-c0818a38fedb,Mercury Labs,"25 Eccleston Pl, London SW1W 9NF, UK",,http://mercurylabs.io/,team@mercurylabs.io,80,'26/30,'28/30,'26/40,New,,website
e79256b9-c399-4240-b12c-2f7d6fb89540,Bilfinger UK Limited,"675 Eskdale Rd, Winnersh, Wokingham RG41 5TU, UK",0118 304 1631,,,0,,,,New,,
c298439f-8890-4bed-8d7d-510fd99904ba,Artificial,"1-3 Frederick's Pl, London EC2R 8AE, UK",020 3880 8461,https://artificial.io/,hello@artificial.io,80,'26/30,'28/30,'26/40,New,,website
dd533ba0-41ba-4b5f-8293-589a9f0b4fbf,Solusent,"31 Balham Hill, London SW12 9DX, UK",020 3193 8835,https://solusent.com/,contact@solusent.com,74,'25/30,'28/30,'21/40,New,,website
26d6defa-5415-4bbb-affa-732db6adb50e,nPlan,"68 Hanbury St, London E1 5JL, UK",020 8051 4542,https://www.nplan.io/,,79,'26/30,'28/30,'25/40,New,,
ca2cf739-8bb8-44b6-962f-e04cdff8ec95,STR Digital Marketing & Web Design,"22 Haymarket, London SW1Y 4DG, UK",07520 637055,https://strwebdesign.co.uk/,,0,,'10/30,,New,,
e7f1e92f-087d-46db-b3f5-d4b7731d4055,Raw Accounting,"The White Building, 33 Kings Rd, Reading RG1 3AR, UK",0118 370 2547,https://rawaccounting.co.uk/,luke.fletcher@rawaccounting.co.uk,79,'26/30,'28/30,'25/40,New,,hunter
ef5d34bc-ee52-4110-a867-d9d08c178a0f,Wingfield Engineering Ltd,"372 Reading Rd, Winnersh, Wokingham RG41 5EJ, UK",0118 978 1519,http://www.wingfieldengineering.co.uk/,,47,'19/30,'14/30,'14/40,New,,
debd8568-47da-4b64-8ad1-d33ea406c779,AG Accountant - Polska ksiegowa Reading/ Accountant Reading,"3, Sulham Place, Pangbourne St, Reading RG30 1FG, UK",07742 858404,https://agaccountant.co.uk/,info@qmaibdnift.cfolks.pl,76,'21/30,'28/30,'27/40,New,,website
e3c7ebc1-90a2-4961-a8ca-3d95d99a7c2b,Biz Accounting Solutions Ltd,"12 Fuchsia Grove, Shinfield, Reading RG2 9ET, UK",07877 224964,https://bizasl.co.uk/?utm_source=Google&utm_medium=Organic&utm_campaign=GMB,enquiry@bizasl.co.uk,73,'21/30,'28/30,'24/40,New,,website
0c0b30ec-5b84-4ff3-9935-75d7c3fe3f64,Wayve Technologies Ltd,"230-238 York Wy, London N7 9AG, UK",020 4574 5971,http://wayve.ai/,,0,,,,New,,
86339b0e-3279-458d-9d7a-3d0bf282857a,Goodwill Solicitors,"11, The Courtyard, East Park, Crawley RH10 6AG, UK",07863 109556,http://goodwillsolicitors.com/,n.hashmi@goodwillsolicitors.com,67,'24/30,'19/30,'24/40,New,,hunter
3775d860-66d0-4ea5-9452-c12e2f8088b3,Aerocomponents Ltd,"Unit 3B, Headley Park Ten, Headley Rd E, Woodley, Reading RG5 4SW, UK",0118 969 8400,http://www.aerocomponents.co.uk/,sales@aerocomponents.co.uk,76,'22/30,'28/30,'26/40,New,,website
0b25b8a9-11a2-41a1-93c8-98ac4022f271,Mesh-AI,"100 Liverpool St, London EC2M 2AT, UK",020 3432 7020,https://www.mesh-ai.com/,hello@mesh-ai.com,82,'26/30,'28/30,'28/40,New,,website
030b9b3a-0534-4b05-9f66-093f4c2f7e37,OLAX Engineering,"100 Berkshire Pl, Winnersh, Wokingham RG41 5RD, UK",0118 214 6220,http://olaxengineering.com/,info@olaxengineering.com,0,'24/30,'26/30,'12/40,New,,hunter
46a0ef95-1a58-4380-adb2-8fb97dc5fd0a,Monolith AI Limited,"201 Borough High Street (Fora, Building, London SE1 1JA, UK",4931284118,https://www.monolithai.com/,info@monolithai.com,0,'4/30,'14/30,'8/40,New,,website
4776e8b0-27ec-412b-8d1f-937008033926,Singular Intelligence,"Level 39, One Canada Square, London E14 5AB, UK",07919 334137,http://singularintelligence.com/,info@singularintelligence.com,0,,'10/30,,New,,website
1c4b9818-34a0-4431-9dfd-c4cd6232bfda,Web Buds,"Studio 536, Salisbury House, London Wall, London EC2M 5SQ, UK",020 3983 2259,https://www.webbuds.co.uk/,enquiries@webbuds.co.uk,86,'26/30,'28/30,'32/40,New,,website
